ENN,2021ebit,2021payable,2021receivable,2022ebit,2022payable,2022receivable,2023ebit,2023payable,2023receivable,2024ebit,2024payable,2024receivable,2025ebit,2025payable,2025receivable
1313000353,886.0,,0.0,784.0,,0.0,,,,1335.0,,0.0,-973.0,0.0,0.0
2222868881,2726.0,1844.0,0.0,12283.0,7510.0,0.0,,,,71835.0,4660.0,0.0,7183.0,0.0,0.0
3804051522,12098.0,,0.0,1113.0,,0.0,,,,,,,,,
6452120777,2427.0,,,1505.0,,,,,,,,,,,
7536170310,-1663.0,,445.0,118762.0,,2283.0,-60942.0,,0.0,217422.0,19673.0,2151.0,-351738.0,83.0,2768.0
1655143876,1129.0,844.0,0.0,880.0,495.0,0.0,,,,308.0,,0.0,221.0,0.0,0.0
2902001119,126862.0,0.0,,96191.0,,,107044.0,,,50243.0,,,52882.0,0.0,0.0
6671445697,32022.0,188.0,0.0,74036.0,0.0,0.0,-32397.0,,0.0,-45477.0,,305.0,-28799.0,0.0,0.0
7709955148,3754.0,53.0,16.0,4226.0,80.0,150.0,228.0,0.0,386.0,979.0,923.0,168.0,4598.0,5092.0,0.0
9201007316,16327.0,555.0,0.0,16484.0,589.0,0.0,2480.0,592.0,0.0,71852.0,594.0,0.0,52425.0,603.0,0.0
6451012698,706.0,,,22753.0,467.0,500.0,1073.0,0.0,181.0,594.0,,134.0,34054.0,0.0,937.0
9701150000,527.0,,,85.0,,,,,,,,,,,
6670490954,19766.0,,0.0,9445.0,,0.0,-63306.0,,0.0,83026.0,,0.0,3497.0,0.0,0.0
6670370199,3270.0,2319.0,0.0,28859.0,5474.0,0.0,1802.0,564.0,0.0,13861.0,2081.0,0.0,3671.0,2298.0,0.0
7704404651,7030.0,,,476.0,,,5403.0,,,7888.0,,,4157.0,0.0,0.0
9102045582,-18378.0,7253.0,534.0,-6086.0,10252.0,8842.0,2070554.0,19995.0,51051.0,-3733865.0,91240.0,30887.0,457904.0,818288.0,286805.0
6163104536,3299.0,,,490.0,,,7122.0,,,3271.0,,,-3099.0,0.0,78.0
2314016132,579.0,187.0,0.0,13251.0,486.0,0.0,625.0,192.0,0.0,,,,4805.0,0.0,0.0
7708407893,579.0,187.0,0.0,13251.0,486.0,0.0,625.0,192.0,0.0,4183.0,0.0,0.0,4805.0,0.0,0.0
