Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТЕХСТРОЙ""",Юридическое лицо,Малое предприятие,5404084319,54 - Новосибирская область,г Новосибирск,,10.02.2019,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТРАНК""",Юридическое лицо,Малое предприятие,5501058160,55 - Омская область,г Омск,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТРАНСКОМ""",Юридическое лицо,Малое предприятие,7203259114,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,7202164886,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,4253008086,78 - г.Санкт-Петербург,,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТРЕЙДКОМПЛЕКТ""",Юридическое лицо,Малое предприятие,5507228690,55 - Омская область,г Омск,,01.08.2016,Да,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБУР-ТРАНС""",Юридическое лицо,Малое предприятие,6658272660,77 - г.Москва,,,01.08.2016,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБШАХТМОНТАЖ""",Юридическое лицо,Малое предприятие,4212039504,42 - Кемеровская область,г Ленинск-Кузнецкий,,10.04.2017,Нет,55.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБШАХТСТРОЙ""",Юридическое лицо,Малое предприятие,4212037546,42 - Кемеровская область,г Ленинск-Кузнецкий,,01.08.2016,Нет,77.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЭКОСТРОЙ""",Юридическое лицо,Малое предприятие,2466236630,24 - Красноярский край,г Красноярск,,01.08.2016,Да,40.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЭКССТРОЙ""",Юридическое лицо,Малое предприятие,8603195315,86 - Ханты-Мансийский автономный округ - Югра,г Нижневартовск,,01.08.2016,Да,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,3810031041,38 - Иркутская область,г Иркутск,,01.08.2016,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,5404493174,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА-СТ""",Юридическое лицо,Малое предприятие,2333010111,23 - Краснодарский край,,ст-ца Калининская,01.08.2016,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА-СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1659064720,16 - Республика Татарстан (Татарстан),г Казань,,01.08.2016,Да,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""",Юридическое лицо,Малое предприятие,3461059611,34 - Волгоградская область,г Волгоград,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""",Юридическое лицо,Малое предприятие,6163209634,61 - Ростовская область,г Ростов-на-Дону,,10.06.2018,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""",Юридическое лицо,Малое предприятие,9103095360,91 - Республика Крым,г Ялта,,10.01.2021,Нет,52.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""",Юридическое лицо,Малое предприятие,5024211070,20 - Чеченская Республика,,с Керла-Юрт,10.03.2021,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГНАЛ""",Юридическое лицо,Малое предприятие,2353002302,23 - Краснодарский край,г Тимашевск,,01.08.2016,Нет,42.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГНАЛСТРОЙГРУПП""",Юридическое лицо,Малое предприятие,7715383072,77 - г.Москва,,,10.08.2020,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИДИЭС КОРП.""",Юридическое лицо,Малое предприятие,5256199810,50 - Московская область,г Химки,,10.01.2022,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИЗИФ""",Юридическое лицо,Малое предприятие,4206000322,42 - Кемеровская область,г Кемерово,,01.08.2016,Да,64.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМ-СТРОЙ""",Юридическое лицо,Малое предприятие,2314016132,23 - Краснодарский край,г Лабинск,,01.08.2016,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМБИРСКАЯ ФАСАДНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7325126136,73 - Ульяновская область,г Ульяновск,,01.08.2016,Да,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНАНГРУПП""",Юридическое лицо,Малое предприятие,6670344583,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНАРА""",Юридическое лицо,Малое предприятие,7734458020,77 - г.Москва,,,10.09.2022,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНДИКА-ГРУПП""",Юридическое лицо,Малое предприятие,7801670514,78 - г.Санкт-Петербург,,,10.09.2019,Нет,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНЕРГИЯ""",Юридическое лицо,Малое предприятие,266055865,02 - Республика Башкортостан,г Салават,,10.09.2017,Да,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНОДЕКОР""",Юридическое лицо,Малое предприятие,1901118352,19 - Республика Хакасия,г Абакан,,01.08.2016,Нет,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕЗИС ИНГ""",Юридическое лицо,Малое предприятие,9103000552,91 - Республика Крым,г Ялта,,01.08.2016,Да,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕЗИС""",Юридическое лицо,Малое предприятие,7725313589,77 - г.Москва,,,01.08.2016,Нет,28.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕРРА КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,7714366500,77 - г.Москва,,,10.07.2022,Нет,6.0
"Общество с ограниченной ответственностью ""Синхрострой""",Юридическое лицо,Малое предприятие,5042078255,50 - Московская область,,,01.08.2016,Да,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИП-ЭНЕРГО""",Юридическое лицо,Среднее предприятие,7724771184,77 - г.Москва,,,10.08.2019,Да,72.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",Юридическое лицо,Малое предприятие,7801629900,78 - г.Санкт-Петербург,,,01.08.2016,Да,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",Юридическое лицо,Малое предприятие,3525455356,35 - Вологодская область,г Вологда,,10.04.2020,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",Юридическое лицо,Малое предприятие,9705150805,77 - г.Москва,,,10.01.2021,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",Юридическое лицо,Малое предприятие,7727463893,77 - г.Москва,,,10.05.2021,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИС РУС""",Юридическое лицо,Малое предприятие,7704847100,77 - г.Москва,,,10.08.2020,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА СЕРВИС IV ПЛЮС""",Юридическое лицо,Малое предприятие,5447100572,54 - Новосибирская область,г Куйбышев,,01.08.2016,Нет,21.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА""",Юридическое лицо,Малое предприятие,7725370499,77 - г.Москва,,,10.05.2017,Нет,36.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА""",Юридическое лицо,Малое предприятие,5032257329,50 - Московская область,г Голицыно,,10.08.2020,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМКОМПЛЕКТСТРОЙ""",Юридическое лицо,Малое предприятие,6686018232,66 - Свердловская область,г Березовский,,01.08.2016,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМНОЕ КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,9729030151,77 - г.Москва,,,10.10.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ БИЛДИНГ""",Юридическое лицо,Среднее предприятие,6670381377,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ КОНСТРАКШЕН МЕНЕДЖМЕНТ""",Юридическое лицо,Малое предприятие,7802629220,77 - г.Москва,,,10.09.2017,Да,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ СТРОЙ ГРУПП""",Юридическое лицо,Среднее предприятие,4028058135,40 - Калужская область,г Калуга,,10.08.2018,Да,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЦЕНТР ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,7703795723,77 - г.Москва,,,01.08.2016,Да,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-КИ""",Юридическое лицо,Малое предприятие,1500001188,15 - Республика Северная Осетия - Алания,г Владикавказ,,10.01.2022,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-М""",Юридическое лицо,Малое предприятие,7444059263,78 - г.Санкт-Петербург,,,01.08.2016,Да,40.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-ПРО""",Юридическое лицо,Малое предприятие,4825116540,48 - Липецкая область,г Липецк,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СТРОЙ""",Юридическое лицо,Малое предприятие,264065498,02 - Республика Башкортостан,г Нефтекамск,,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СТРОЙ""",Юридическое лицо,Малое предприятие,6315658980,63 - Самарская область,г Самара,,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СТРОЙ""",Юридическое лицо,Малое предприятие,7725828411,50 - Московская область,ГОРОД ДОЛГОПРУДНЫЙ,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ""",Юридическое лицо,Малое предприятие,7840100451,78 - г.Санкт-Петербург,,,10.06.2022,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИИНЖСТРОЙ""",Юридическое лицо,Малое предприятие,7839065805,78 - г.Санкт-Петербург,,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИКОМ""",Юридическое лицо,Малое предприятие,5032196700,50 - Московская область,,п Летний Отдых,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИКОНСТРАКШЕН""",Юридическое лицо,Малое предприятие,5024140260,50 - Московская область,г Красногорск,,01.08.2016,Нет,31.0
