Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Юридическое лицо,Малое предприятие,1510008048,15 - Республика Северная Осетия - Алания,г Моздок,,10.08.2017,Да,50.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",Юридическое лицо,Малое предприятие,5029022704,50 - Московская область,г Мытищи,,10.12.2023,Нет,12.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",Юридическое лицо,Среднее предприятие,7830001839,78 - г.Санкт-Петербург,,,10.08.2018,Да,13.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",Юридическое лицо,Малое предприятие,5004000089,50 - Московская область,г Волоколамск,,10.12.2020,Нет,24.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",Юридическое лицо,Малое предприятие,5005001110,50 - Московская область,,,10.08.2017,Да,37.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7704040517,77 - г.Москва,,,10.03.2021,Нет,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",Юридическое лицо,Малое предприятие,7709502155,50 - Московская область,г Мытищи,,10.08.2018,Нет,19.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",Юридическое лицо,Малое предприятие,9715426146,77 - г.Москва,,,10.07.2023,Нет,1.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",Юридическое лицо,Малое предприятие,1629003431,16 - Республика Татарстан (Татарстан),,с Муслюмово,10.08.2017,Нет,52.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",Юридическое лицо,Малое предприятие,7726065829,77 - г.Москва,,,10.08.2017,Да,66.0
